ID,Location (City),Weekday,Sport Type,Duration (min),Calories Consumed
FitFanatic,San Francisco,Sunday,Swimming,45,450
FitFanatic,San Francisco,Tuesday,Running,30,320
FitFanatic,San Francisco,Wednesday,Yoga,60,250
FitFanatic,San Francisco,Thursday,Basketball,60,500
FitFanatic,San Francisco,Saturday,Cycling,90,600
HealthyHiker,Austin,Sunday,Running,30,300
HealthyHiker,Austin,Tuesday,Swimming,45,400
HealthyHiker,Austin,Thursday,Running,30,300
HealthyHiker,Austin,Saturday,Swimming,45,400
GymGuru,New York City,Monday,Weightlifting,60,400
GymGuru,New York City,Wednesday,Yoga,75,250
GymGuru,New York City,Friday,Spinning,45,400
GymGuru,New York City,Sunday,Running,45,350
ActiveAce,Los Angeles,Monday,Swimming,30,250
ActiveAce,Los Angeles,Tuesday,Tennis,90,600
ActiveAce,Los Angeles,Thursday,Running,45,400
ActiveAce,Los Angeles,Saturday,Yoga,60,300
FitFrenzy,Chicago,Monday,High-Intensity Interval Training (HIIT),60,500
FitFrenzy,Chicago,Tuesday,Running,30,300
FitFrenzy,Chicago,Wednesday,Pilates,45,200
FitFrenzy,Chicago,Thursday,Weightlifting,60,400
FitFrenzy,Chicago,Friday,Cycling,60,500
FitnessFan,Miami,Monday,Swimming,45,400
FitnessFan,Miami,Tuesday,Running,60,500
FitnessFan,Miami,Thursday,Yoga,90,350
FitnessFan,Miami,Saturday,Spinning,45,400
PixelPenguin,San Francisco,Sunday,Swimming,45,450
PixelPenguin,San Francisco,Tuesday,Running,30,320
PixelPenguin,San Francisco,Wednesday,Yoga,60,250
PixelPenguin,San Francisco,Thursday,Basketball,60,500
PixelPenguin,San Francisco,Saturday,Cycling,90,600
WanderlustWarrior,Austin,Sunday,Running,30,300
WanderlustWarrior,Austin,Tuesday,Swimming,45,400
WanderlustWarrior,Austin,Thursday,Running,30,300
WanderlustWarrior,Austin,Saturday,Swimming,45,400
CozyCabin,New York City,Monday,Yoga,60,200
CozyCabin,New York City,Wednesday,Running,45,450
CozyCabin,New York City,Friday,Yoga,60,200
CozyCabin,New York City,Saturday,Running,45,450
ChirpingBird,Boston,Sunday,Cycling,60,500
ChirpingBird,Boston,Tuesday,Tennis,90,600
ChirpingBird,Boston,Thursday,Cycling,60,500
ChirpingBird,Boston,Saturday,Tennis,90,600
StarryNightSky,Los Angeles,Sunday,Walking,30,100
StarryNightSky,Los Angeles,Tuesday,Stretching,20,50
StarryNightSky,Los Angeles,Thursday,Walking,30,100
StarryNightSky,Los Angeles,Saturday,Stretching,20,50
RainbowGummyBear,San Diego,Sunday,Running,60,600
RainbowGummyBear,San Diego,Tuesday,Calisthenics,45,350
RainbowGummyBear,San Diego,Thursday,Running,60,600
RainbowGummyBear,San Diego,Saturday,Calisthenics,45,350
CoffeeCraze,Chicago,Sunday,Swimming,60,500
CoffeeCraze,Chicago,Tuesday,Running,45,450
CoffeeCraze,Chicago,Thursday,Swimming,60,500
CoffeeCraze,Chicago,Saturday,Running,45,450
AdventureAddict,Seattle,Sunday,Cycling,60,500
AdventureAddict,Seattle,Tuesday,Yoga,75,300
AdventureAddict,Seattle,Thursday,Cycling,60,500
AdventureAddict,Seattle,Saturday,Yoga,75,300
SimplySassy,Denver,Monday,Basketball,60,400
SimplySassy,Denver,Wednesday,Soccer,90,600
SimplySassy,Denver,Friday,Basketball,60,400
SimplySassy,Denver,Saturday,Soccer,90,600
